Id,StartTime,EndTime,InitializedBy
4579,2016-09-30T07:09:17.000Z,2016-09-30T07:09:17.000Z,WindowsUpdateAgent.
7477,2016-10-02T03:07:35.000Z,2016-10-02T03:07:35.000Z,WindowsUpdateAgent.
10628,2016-10-03T11:09:26.000Z,2016-10-03T11:09:26.000Z,WindowsUpdateAgent.
24262,2016-10-10T19:29:25.000Z,2016-10-10T19:29:25.000Z,WindowsUpdateAgent.
8244,2016-10-02T11:59:57.000Z,2016-10-02T11:59:57.000Z,WindowsUpdateAgent.
7610,2016-10-02T03:07:46.000Z,2016-10-02T03:07:46.000Z,WindowsUpdateAgent.
16319,2016-10-06T18:04:02.000Z,2016-10-06T18:04:02.000Z,WindowsUpdateAgent.
15562,2016-10-06T03:01:20.000Z,2016-10-06T03:01:20.000Z,WindowsUpdateAgent.
13460,2016-10-05T00:40:22.000Z,2016-10-05T00:40:22.000Z,WindowsUpdateAgent.
15058,2016-10-06T03:01:03.000Z,2016-10-06T03:01:03.000Z,WindowsUpdateAgent.
6353,2016-10-01T16:39:08.000Z,2016-10-01T16:39:08.000Z,WindowsUpdateAgent.
9151,2016-10-02T14:01:12.000Z,2016-10-02T14:01:12.000Z,WindowsUpdateAgent.
969,2016-09-28T04:30:51.000Z,2016-09-28T04:30:51.000Z,WindowsUpdateAgent.
23289,2016-10-10T00:12:24.000Z,2016-10-10T00:12:24.000Z,WindowsUpdateAgent.
577,2016-09-28T04:30:36.000Z,2016-09-28T04:30:36.000Z,WindowsUpdateAgent.
5735,2016-09-30T19:47:34.000Z,2016-09-30T19:47:34.000Z,WindowsUpdateAgent.
5646,2016-09-30T19:47:29.000Z,2016-09-30T19:47:29.000Z,WindowsUpdateAgent.
6301,2016-10-01T16:39:06.000Z,2016-10-01T16:39:06.000Z,WindowsUpdateAgent.
16371,2016-10-06T18:04:05.000Z,2016-10-06T18:04:05.000Z,WindowsUpdateAgent.
6494,2016-10-01T16:39:33.000Z,2016-10-01T16:39:33.000Z,WindowsUpdateAgent.
6779,2016-10-01T16:39:49.000Z,2016-10-01T16:39:49.000Z,WindowsUpdateAgent.
13752,2016-10-05T00:40:46.000Z,2016-10-05T00:40:46.000Z,WindowsUpdateAgent.
587,2016-09-28T04:30:37.000Z,2016-09-28T04:30:37.000Z,WindowsUpdateAgent.
10491,2016-10-03T11:09:12.000Z,2016-10-03T11:09:12.000Z,WindowsUpdateAgent.
14578,2016-10-05T21:52:22.000Z,2016-10-05T21:52:22.000Z,WindowsUpdateAgent.
8688,2016-10-02T12:00:41.000Z,2016-10-02T12:00:41.000Z,WindowsUpdateAgent.
10677,2016-10-03T11:09:29.000Z,2016-10-03T11:09:29.000Z,WindowsUpdateAgent.
6385,2016-10-01T16:39:15.000Z,2016-10-01T16:39:15.000Z,WindowsUpdateAgent.
17076,2016-10-06T21:41:04.000Z,2016-10-06T21:41:04.000Z,WindowsUpdateAgent.
20681,2016-10-09T02:32:08.000Z,2016-10-09T02:32:08.000Z,WindowsUpdateAgent.
19086,2016-10-08T07:06:17.000Z,2016-10-08T07:06:17.000Z,WindowsUpdateAgent.
12558,2016-10-04T16:50:27.000Z,2016-10-04T16:50:27.000Z,WindowsUpdateAgent.
23277,2016-10-10T00:12:24.000Z,2016-10-10T00:12:24.000Z,WindowsUpdateAgent.
22301,2016-10-09T04:36:47.000Z,2016-10-09T04:36:47.000Z,WindowsUpdateAgent.
11923,2016-10-04T06:24:40.000Z,2016-10-04T06:24:40.000Z,WindowsUpdateAgent.
1589,2016-09-29T02:03:53.000Z,2016-09-29T02:03:53.000Z,WindowsUpdateAgent.
4550,2016-09-30T07:09:11.000Z,2016-09-30T07:09:11.000Z,WindowsUpdateAgent.
3463,2016-09-29T22:28:50.000Z,2016-09-29T22:28:50.000Z,WindowsUpdateAgent.
13899,2016-10-05T00:40:57.000Z,2016-10-05T00:40:57.000Z,WindowsUpdateAgent.
23241,2016-10-10T00:12:23.000Z,2016-10-10T00:12:23.000Z,WindowsUpdateAgent.
