Id,StartTime,EndTime,InitializedBy
22585,2016-10-09 04:37:01,2016-10-09 04:37:01,WindowsUpdateAgent.
24030,2016-10-10 19:29:03,2016-10-10 19:29:03,WindowsUpdateAgent.
6815,2016-10-01 16:39:50,2016-10-01 16:39:50,WindowsUpdateAgent.
19865,2016-10-09 02:31:36,2016-10-09 02:31:36,WindowsUpdateAgent.
4519,2016-09-30 07:09:08,2016-09-30 07:09:08,WindowsUpdateAgent.
17428,2016-10-06 21:41:16,2016-10-06 21:41:16,WindowsUpdateAgent.
17103,2016-10-06 21:41:04,2016-10-06 21:41:04,WindowsUpdateAgent.
3456,2016-09-29 22:28:49,2016-09-29 22:28:49,WindowsUpdateAgent.
7464,2016-10-02 03:07:34,2016-10-02 03:07:34,WindowsUpdateAgent.
11605,2016-10-04 06:24:24,2016-10-04 06:24:24,WindowsUpdateAgent.
24141,2016-10-10 19:29:21,2016-10-10 19:29:21,WindowsUpdateAgent.
8313,2016-10-02 12:00:07,2016-10-02 12:00:07,WindowsUpdateAgent.
14769,2016-10-05 21:52:33,2016-10-05 21:52:33,WindowsUpdateAgent.
18029,2016-10-07 12:46:50,2016-10-07 12:46:50,WindowsUpdateAgent.
6510,2016-10-01 16:39:33,2016-10-01 16:39:33,WindowsUpdateAgent.
7656,2016-10-02 03:07:48,2016-10-02 03:07:48,WindowsUpdateAgent.
2740,2016-09-29 03:00:44,2016-09-29 03:00:44,WindowsUpdateAgent.
16220,2016-10-06 18:03:49,2016-10-06 18:03:49,WindowsUpdateAgent.
22356,2016-10-09 04:36:52,2016-10-09 04:36:52,WindowsUpdateAgent.
520,2016-09-28 04:30:34,2016-09-28 04:30:34,WindowsUpdateAgent.
20401,2016-10-09 02:31:59,2016-10-09 02:31:59,WindowsUpdateAgent.
7447,2016-10-02 03:07:34,2016-10-02 03:07:34,WindowsUpdateAgent.
4570,2016-09-30 07:09:16,2016-09-30 07:09:16,WindowsUpdateAgent.
17029,2016-10-06 21:40:59,2016-10-06 21:40:59,WindowsUpdateAgent.
22116,2016-10-09 04:36:40,2016-10-09 04:36:40,WindowsUpdateAgent.
8238,2016-10-02 11:59:56,2016-10-02 11:59:56,WindowsUpdateAgent.
10504,2016-10-03 11:09:12,2016-10-03 11:09:12,WindowsUpdateAgent.
21639,2016-10-09 03:00:41,2016-10-09 03:00:41,WindowsUpdateAgent.
4623,2016-09-30 07:09:28,2016-09-30 07:09:28,WindowsUpdateAgent.
9305,2016-10-02 14:01:19,2016-10-02 14:01:19,WindowsUpdateAgent.
12447,2016-10-04 16:50:20,2016-10-04 16:50:20,WindowsUpdateAgent.
15993,2016-10-06 18:03:04,2016-10-06 18:03:04,WindowsUpdateAgent.
506,2016-09-28 04:30:34,2016-09-28 04:30:34,WindowsUpdateAgent.
19005,2016-10-08 07:06:07,2016-10-08 07:06:07,WindowsUpdateAgent.
20133,2016-10-09 02:31:49,2016-10-09 02:31:49,WindowsUpdateAgent.
8194,2016-10-02 11:59:51,2016-10-02 11:59:51,WindowsUpdateAgent.
20187,2016-10-09 02:31:50,2016-10-09 02:31:50,WindowsUpdateAgent.
4965,2016-09-30 07:09:45,2016-09-30 07:09:45,WindowsUpdateAgent.
16937,2016-10-06 21:40:56,2016-10-06 21:40:56,WindowsUpdateAgent.
17934,2016-10-07 12:46:38,2016-10-07 12:46:38,WindowsUpdateAgent.
17095,2016-10-06 21:41:04,2016-10-06 21:41:04,WindowsUpdateAgent.
11608,2016-10-04 06:24:24,2016-10-04 06:24:24,WindowsUpdateAgent.
20315,2016-10-09 02:31:58,2016-10-09 02:31:58,WindowsUpdateAgent.
10443,2016-10-03 11:09:01,2016-10-03 11:09:01,WindowsUpdateAgent.
11541,2016-10-04 06:24:22,2016-10-04 06:24:22,WindowsUpdateAgent.
19290,2016-10-08 07:06:36,2016-10-08 07:06:36,WindowsUpdateAgent.
20672,2016-10-09 02:32:08,2016-10-09 02:32:08,WindowsUpdateAgent.
4302,2016-09-30 07:08:56,2016-09-30 07:08:56,WindowsUpdateAgent.
21607,2016-10-09 03:00:39,2016-10-09 03:00:39,WindowsUpdateAgent.
9578,2016-10-02 14:01:27,2016-10-02 14:01:27,WindowsUpdateAgent.
7222,2016-10-02 03:06:54,2016-10-02 03:06:54,WindowsUpdateAgent.
7333,2016-10-02 03:07:18,2016-10-02 03:07:18,WindowsUpdateAgent.
20185,2016-10-09 02:31:50,2016-10-09 02:31:50,WindowsUpdateAgent.
19911,2016-10-09 02:31:39,2016-10-09 02:31:39,WindowsUpdateAgent.
16942,2016-10-06 21:40:56,2016-10-06 21:40:56,WindowsUpdateAgent.
16000,2016-10-06 18:03:05,2016-10-06 18:03:05,WindowsUpdateAgent.
20975,2016-10-09 02:32:20,2016-10-09 02:32:20,WindowsUpdateAgent.
9626,2016-10-02 14:01:28,2016-10-02 14:01:28,WindowsUpdateAgent.
12807,2016-10-04 16:50:35,2016-10-04 16:50:35,WindowsUpdateAgent.
20968,2016-10-09 02:32:20,2016-10-09 02:32:20,WindowsUpdateAgent.
11784,2016-10-04 06:24:35,2016-10-04 06:24:35,WindowsUpdateAgent.
13609,2016-10-05 00:40:40,2016-10-05 00:40:40,WindowsUpdateAgent.
24188,2016-10-10 19:29:23,2016-10-10 19:29:23,WindowsUpdateAgent.
13649,2016-10-05 00:40:43,2016-10-05 00:40:43,WindowsUpdateAgent.
14439,2016-10-05 21:52:08,2016-10-05 21:52:08,WindowsUpdateAgent.
2696,2016-09-29 03:00:42,2016-09-29 03:00:42,WindowsUpdateAgent.
8581,2016-10-02 12:00:37,2016-10-02 12:00:37,WindowsUpdateAgent.
24532,2016-10-10 19:29:40,2016-10-10 19:29:40,WindowsUpdateAgent.
5461,2016-09-30 19:47:23,2016-09-30 19:47:23,WindowsUpdateAgent.
7296,2016-10-02 03:07:13,2016-10-02 03:07:13,WindowsUpdateAgent.
22351,2016-10-09 04:36:52,2016-10-09 04:36:52,WindowsUpdateAgent.
19239,2016-10-08 07:06:34,2016-10-08 07:06:34,WindowsUpdateAgent.
24080,2016-10-10 19:29:08,2016-10-10 19:29:08,WindowsUpdateAgent.
13665,2016-10-05 00:40:43,2016-10-05 00:40:43,WindowsUpdateAgent.
8724,2016-10-02 12:00:42,2016-10-02 12:00:42,WindowsUpdateAgent.
23284,2016-10-10 00:12:24,2016-10-10 00:12:24,WindowsUpdateAgent.
20375,2016-10-09 02:31:59,2016-10-09 02:31:59,WindowsUpdateAgent.
20178,2016-10-09 02:31:50,2016-10-09 02:31:50,WindowsUpdateAgent.
729,2016-09-28 04:30:43,2016-09-28 04:30:43,WindowsUpdateAgent.
9281,2016-10-02 14:01:19,2016-10-02 14:01:19,WindowsUpdateAgent.
12808,2016-10-04 16:50:35,2016-10-04 16:50:35,WindowsUpdateAgent.
22920,2016-10-10 00:12:11,2016-10-10 00:12:11,WindowsUpdateAgent.
14524,2016-10-05 21:52:19,2016-10-05 21:52:19,WindowsUpdateAgent.
12531,2016-10-04 16:50:24,2016-10-04 16:50:24,WindowsUpdateAgent.
21281,2016-10-09 03:00:28,2016-10-09 03:00:28,WindowsUpdateAgent.
20713,2016-10-09 02:32:08,2016-10-09 02:32:08,WindowsUpdateAgent.
