Id,StartTime,EndTime,InitializedBy
4579,2016-09-30 07:09:17,2016-09-30 07:09:17,WindowsUpdateAgent.
20621,2016-10-09 02:32:05,2016-10-09 02:32:05,WindowsUpdateAgent.
1676,2016-09-29 02:04:01,2016-09-29 02:04:01,WindowsUpdateAgent.
24262,2016-10-10 19:29:25,2016-10-10 19:29:25,WindowsUpdateAgent.
13687,2016-10-05 00:40:44,2016-10-05 00:40:44,WindowsUpdateAgent.
20711,2016-10-09 02:32:08,2016-10-09 02:32:08,WindowsUpdateAgent.
2473,2016-09-29 03:00:35,2016-09-29 03:00:35,WindowsUpdateAgent.
11782,2016-10-04 06:24:35,2016-10-04 06:24:35,WindowsUpdateAgent.
24517,2016-10-10 19:29:40,2016-10-10 19:29:40,WindowsUpdateAgent.
6338,2016-10-01 16:39:07,2016-10-01 16:39:07,WindowsUpdateAgent.
17104,2016-10-06 21:41:04,2016-10-06 21:41:04,WindowsUpdateAgent.
9104,2016-10-02 14:01:10,2016-10-02 14:01:10,WindowsUpdateAgent.
9583,2016-10-02 14:01:27,2016-10-02 14:01:27,WindowsUpdateAgent.
10656,2016-10-03 11:09:29,2016-10-03 11:09:29,WindowsUpdateAgent.
9324,2016-10-02 14:01:19,2016-10-02 14:01:19,WindowsUpdateAgent.
18941,2016-10-08 07:05:59,2016-10-08 07:05:59,WindowsUpdateAgent.
6494,2016-10-01 16:39:33,2016-10-01 16:39:33,WindowsUpdateAgent.
6325,2016-10-01 16:39:07,2016-10-01 16:39:07,WindowsUpdateAgent.
7447,2016-10-02 03:07:34,2016-10-02 03:07:34,WindowsUpdateAgent.
16141,2016-10-06 18:03:41,2016-10-06 18:03:41,WindowsUpdateAgent.
4570,2016-09-30 07:09:16,2016-09-30 07:09:16,WindowsUpdateAgent.
22116,2016-10-09 04:36:40,2016-10-09 04:36:40,WindowsUpdateAgent.
21453,2016-10-09 03:00:34,2016-10-09 03:00:34,WindowsUpdateAgent.
15223,2016-10-06 03:01:11,2016-10-06 03:01:11,WindowsUpdateAgent.
23100,2016-10-10 00:12:16,2016-10-10 00:12:16,WindowsUpdateAgent.
19086,2016-10-08 07:06:17,2016-10-08 07:06:17,WindowsUpdateAgent.
506,2016-09-28 04:30:34,2016-09-28 04:30:34,WindowsUpdateAgent.
21376,2016-10-09 03:00:30,2016-10-09 03:00:30,WindowsUpdateAgent.
17236,2016-10-06 21:41:10,2016-10-06 21:41:10,WindowsUpdateAgent.
17904,2016-10-07 12:46:31,2016-10-07 12:46:31,WindowsUpdateAgent.
22663,2016-10-09 04:37:02,2016-10-09 04:37:02,WindowsUpdateAgent.
5789,2016-09-30 19:47:35,2016-09-30 19:47:35,WindowsUpdateAgent.
4550,2016-09-30 07:09:11,2016-09-30 07:09:11,WindowsUpdateAgent.
4965,2016-09-30 07:09:45,2016-09-30 07:09:45,WindowsUpdateAgent.
19427,2016-10-08 07:06:48,2016-10-08 07:06:48,WindowsUpdateAgent.
17934,2016-10-07 12:46:38,2016-10-07 12:46:38,WindowsUpdateAgent.
19423,2016-10-08 07:06:48,2016-10-08 07:06:48,WindowsUpdateAgent.
9370,2016-10-02 14:01:20,2016-10-02 14:01:20,WindowsUpdateAgent.
7214,2016-10-02 03:06:54,2016-10-02 03:06:54,WindowsUpdateAgent.
17965,2016-10-07 12:46:41,2016-10-07 12:46:41,WindowsUpdateAgent.
4541,2016-09-30 07:09:11,2016-09-30 07:09:11,WindowsUpdateAgent.
16485,2016-10-06 18:04:12,2016-10-06 18:04:12,WindowsUpdateAgent.
19009,2016-10-08 07:06:07,2016-10-08 07:06:07,WindowsUpdateAgent.
4302,2016-09-30 07:08:56,2016-09-30 07:08:56,WindowsUpdateAgent.
9578,2016-10-02 14:01:27,2016-10-02 14:01:27,WindowsUpdateAgent.
6409,2016-10-01 16:39:18,2016-10-01 16:39:18,WindowsUpdateAgent.
18246,2016-10-07 12:47:11,2016-10-07 12:47:11,WindowsUpdateAgent.
19132,2016-10-08 07:06:29,2016-10-08 07:06:29,WindowsUpdateAgent.
11707,2016-10-04 06:24:27,2016-10-04 06:24:27,WindowsUpdateAgent.
6395,2016-10-01 16:39:16,2016-10-01 16:39:16,WindowsUpdateAgent.
4431,2016-09-30 07:09:01,2016-09-30 07:09:01,WindowsUpdateAgent.
5463,2016-09-30 19:47:23,2016-09-30 19:47:23,WindowsUpdateAgent.
19168,2016-10-08 07:06:32,2016-10-08 07:06:32,WindowsUpdateAgent.
16148,2016-10-06 18:03:47,2016-10-06 18:03:47,WindowsUpdateAgent.
7077,2016-10-02 03:06:49,2016-10-02 03:06:49,WindowsUpdateAgent.
21772,2016-10-09 03:00:44,2016-10-09 03:00:44,WindowsUpdateAgent.
149465,2016-10-11 03:03:48,2016-10-11 03:03:48,WindowsUpdateAgent.
19946,2016-10-09 02:31:40,2016-10-09 02:31:40,WindowsUpdateAgent.
14439,2016-10-05 21:52:08,2016-10-05 21:52:08,WindowsUpdateAgent.
5697,2016-09-30 19:47:32,2016-09-30 19:47:32,WindowsUpdateAgent.
6019,2016-10-01 16:38:51,2016-10-01 16:38:51,WindowsUpdateAgent.
11189,2016-10-04 06:23:50,2016-10-04 06:23:50,WindowsUpdateAgent.
18115,2016-10-07 12:47:07,2016-10-07 12:47:07,WindowsUpdateAgent.
23576,2016-10-10 00:12:34,2016-10-10 00:12:34,WindowsUpdateAgent.
7314,2016-10-02 03:07:16,2016-10-02 03:07:16,WindowsUpdateAgent.
24080,2016-10-10 19:29:08,2016-10-10 19:29:08,WindowsUpdateAgent.
9567,2016-10-02 14:01:27,2016-10-02 14:01:27,WindowsUpdateAgent.
23284,2016-10-10 00:12:24,2016-10-10 00:12:24,WindowsUpdateAgent.
4774,2016-09-30 07:09:32,2016-09-30 07:09:32,WindowsUpdateAgent.
17367,2016-10-06 21:41:15,2016-10-06 21:41:15,WindowsUpdateAgent.
6557,2016-10-01 16:39:35,2016-10-01 16:39:35,WindowsUpdateAgent.
22920,2016-10-10 00:12:11,2016-10-10 00:12:11,WindowsUpdateAgent.
5652,2016-09-30 19:47:29,2016-09-30 19:47:29,WindowsUpdateAgent.
21281,2016-10-09 03:00:28,2016-10-09 03:00:28,WindowsUpdateAgent.
19114,2016-10-08 07:06:18,2016-10-08 07:06:18,WindowsUpdateAgent.
17213,2016-10-06 21:41:06,2016-10-06 21:41:06,WindowsUpdateAgent.
13442,2016-10-05 00:40:18,2016-10-05 00:40:18,WindowsUpdateAgent.
16262,2016-10-06 18:03:51,2016-10-06 18:03:51,WindowsUpdateAgent.
18048,2016-10-07 12:46:51,2016-10-07 12:46:51,WindowsUpdateAgent.
18003,2016-10-07 12:46:43,2016-10-07 12:46:43,WindowsUpdateAgent.
1967,2016-09-29 02:04:33,2016-09-29 02:04:33,WindowsUpdateAgent.
1693,2016-09-29 02:04:03,2016-09-29 02:04:03,WindowsUpdateAgent.
14943,2016-10-06 03:01:01,2016-10-06 03:01:01,WindowsUpdateAgent.
1876,2016-09-29 02:04:25,2016-09-29 02:04:25,WindowsUpdateAgent.
10995,2016-10-03 11:09:46,2016-10-03 11:09:46,WindowsUpdateAgent.
2071,2016-09-29 02:04:38,2016-09-29 02:04:38,WindowsUpdateAgent.
6608,2016-10-01 16:39:41,2016-10-01 16:39:41,WindowsUpdateAgent.
16257,2016-10-06 18:03:51,2016-10-06 18:03:51,WindowsUpdateAgent.
16288,2016-10-06 18:03:55,2016-10-06 18:03:55,WindowsUpdateAgent.
21382,2016-10-09 03:00:30,2016-10-09 03:00:30,WindowsUpdateAgent.
18194,2016-10-07 12:47:10,2016-10-07 12:47:10,WindowsUpdateAgent.
7639,2016-10-02 03:07:48,2016-10-02 03:07:48,WindowsUpdateAgent.
3764,2016-09-29 22:29:05,2016-09-29 22:29:05,WindowsUpdateAgent.
13548,2016-10-05 00:40:30,2016-10-05 00:40:30,WindowsUpdateAgent.
6339,2016-10-01 16:39:07,2016-10-01 16:39:07,WindowsUpdateAgent.
964,2016-09-28 04:30:51,2016-09-28 04:30:51,WindowsUpdateAgent.
9663,2016-10-02 14:01:29,2016-10-02 14:01:29,WindowsUpdateAgent.
16336,2016-10-06 18:04:03,2016-10-06 18:04:03,WindowsUpdateAgent.
16231,2016-10-06 18:03:50,2016-10-06 18:03:50,WindowsUpdateAgent.
18404,2016-10-07 12:47:24,2016-10-07 12:47:24,WindowsUpdateAgent.
11574,2016-10-04 06:24:23,2016-10-04 06:24:23,WindowsUpdateAgent.
23369,2016-10-10 00:12:26,2016-10-10 00:12:26,WindowsUpdateAgent.
23098,2016-10-10 00:12:16,2016-10-10 00:12:16,WindowsUpdateAgent.
21171,2016-10-09 03:00:26,2016-10-09 03:00:26,WindowsUpdateAgent.
24156,2016-10-10 19:29:22,2016-10-10 19:29:22,WindowsUpdateAgent.
19062,2016-10-08 07:06:12,2016-10-08 07:06:12,WindowsUpdateAgent.
17019,2016-10-06 21:40:59,2016-10-06 21:40:59,WindowsUpdateAgent.
20238,2016-10-09 02:31:55,2016-10-09 02:31:55,WindowsUpdateAgent.
19884,2016-10-09 02:31:38,2016-10-09 02:31:38,WindowsUpdateAgent.
7828,2016-10-02 03:08:08,2016-10-02 03:08:08,WindowsUpdateAgent.
21715,2016-10-09 03:00:43,2016-10-09 03:00:43,WindowsUpdateAgent.
20387,2016-10-09 02:31:59,2016-10-09 02:31:59,WindowsUpdateAgent.
18145,2016-10-07 12:47:08,2016-10-07 12:47:08,WindowsUpdateAgent.
8744,2016-10-02 12:00:43,2016-10-02 12:00:43,WindowsUpdateAgent.
